Application,Turnstile,CodeQL,Manual
node-red-contrib-airtable,3,0,3
node-red-contrib-amazon-echo,16,4,16
node-red-contrib-aws,10,0,10
node-red-contrib-bear,0,0,1
node-red-contrib-blink,4,0,4
node-red-contrib-ccu,0,4,4
node-red-contrib-chatbase,0,0,1
node-red-contrib-credentials,0,0,0
node-red-contrib-deconz,0,0,12
node-red-contrib-dialogflow,11,0,11
node-red-contrib-directline,0,0,6
node-red-contrib-ethjs,0,0,2
node-red-contrib-facebook,0,0,4
node-red-contrib-ffmpeg,7,0,7
node-red-contrib-file,3,0,3
node-red-contrib-file-operation,3,0,3
node-red-contrib-google-actions,3,0,3
node-red-contrib-google-authentication,0,0,0
node-red-contrib-google-maps,3,0,3
node-red-contrib-google-smarthome,0,14,14
node-red-contrib-google-speech,0,0,2
node-red-contrib-google-youtube,0,0,2
node-red-contrib-help,12,0,12
node-red-contrib-huemagic,0,0,0
node-red-contrib-iadvize,3,0,3
node-red-contrib-inbenta,4,0,4
node-red-contrib-jimp,14,0,14
node-red-contrib-lgtv,8,8,8
node-red-contrib-loop,0,0,1
node-red-contrib-loxone,0,0,2
node-red-contrib-modbus,13,7,13
node-red-contrib-mongodb,0,0,0
node-red-contrib-ms-authentication,0,0,0
node-red-contrib-ms-decision,0,0,1
node-red-contrib-ms-graph,19,0,19
node-red-contrib-ms-language,2,0,2
node-red-contrib-ms-search,2,0,2
node-red-contrib-ms-speech,10,0,10
node-red-contrib-ms-vision,6,0,6
node-red-contrib-mustache,0,0,1
node-red-contrib-nedb,0,0,0
node-red-contrib-nlp-js,13,0,13
node-red-contrib-nosql,0,0,2
node-red-contrib-onvif-nodes,3,2,3
node-red-contrib-qrcode,0,0,1
node-red-contrib-random,0,0,1
node-red-contrib-recast,0,0,1
node-red-contrib-repeat,0,0,1
node-red-contrib-salesforce,0,0,1
node-red-contrib-sarah,0,0,2
node-red-contrib-sensit,0,0,1
node-red-contrib-soap,3,0,3
node-red-contrib-socketio,0,0,2
node-red-contrib-sox,7,0,7
node-red-contrib-sun-position,0,0,9
node-red-contrib-tokenizer,0,0,1
node-red-contrib-trello,2,0,2
node-red-contrib-ui-svg,0,0,5
node-red-contrib-wechat,0,0,2
node-red-contrib-zendesk,0,0,8
node-red-node-watson,8,13,13
