Frequency,Selective-Min,Selective-Med,Selective-Max,Exhaustive-Min,Exhaustive-Med,Exhaustive-Max
2,0.998427386671529,1.00258175328755,1.0392039919928,0.998952846123848,1.00282962552245,1.10807502490606
5,0.998446485916756,1.00486028919935,1.05322183740962,0.998727376202782,1.00537526040454,1.27895663260579
10,0.996208906118817,1.00885625491316,1.09309762880732,0.997015617501501,1.01007808278755,1.54796413928043
20,0.994853700193707,1.01703718774562,1.09501960754675,0.994677251120473,1.02069331452821,2.0537819043837
30.3030303030303,0.989415924932341,1.0240146691996,1.15784372404147,1.00396898179655,1.03035998640967,2.53803399982206
40,0.985052225046055,1.02886167397972,1.14669518644079,1.00611715716129,1.03178346608587,3.03402210968987
50,0.978180570363529,1.03685243324448,1.19499661004236,1.01009155135495,1.04389120756257,3.54980896370171
58.8235294117647,0.971176813212141,1.04381212759464,1.21396594793508,1.01003874630871,1.05214028409129,4.06463300052514
71.4285714285714,0.975603936825336,1.05329433622723,1.28594621733409,1.01082224864461,1.05811005318115,4.60379439274687
83.3333333333333,0.966693012678388,1.05563048066045,1.29112504192266,1.0137182471244,1.06234112377341,5.18149863829629
90.9090909090909,0.970435608591826,1.06527903418323,1.3070855763673,1.01203226680712,1.07013693022845,5.4346184896336
100,0.985837365398113,1.06750860422501,1.34977907360533,0.997442789317042,1.07464107287979,5.7856186491178
200,0.982584133375792,1.07557600573178,1.56710923946676,1.00892761979729,1.11996193969379,9.20681454998006
250,0.982464076178908,1.07173292435698,1.67995165442238,1.02235209962601,1.15909486374297,10.8021750112753
500,1.00633656307024,1.12553043899082,1.86965736070183,1.01441803984847,1.22146320109129,16.4614234651253
1000,1.00678393331421,1.21967530976823,2.09914489511327,1.02336912002649,1.26838256198335,25.061825977044
